"Diabetes, urogenital, blood, and endocrine diseases",,,,,,,,,,
Location,FIPS,"Mortality Rate, 1980*","Mortality Rate, 1985*","Mortality Rate, 1990*","Mortality Rate, 1995*","Mortality Rate, 2000*","Mortality Rate, 2005*","Mortality Rate, 2010*","Mortality Rate, 2014*","% Change in Mortality Rate, 1980-2014"
"Northwest Arctic Borough, Alaska",2188,"48.23 (41.32, 55.19)","47.39 (41.41, 53.41)","47.59 (42.23, 52.93)","49.49 (44.24, 54.84)","52.03 (46.40, 57.87)","49.20 (43.85, 55.36)","44.74 (39.37, 51.16)","45.13 (38.97, 51.87)","-6.43 (-23.17, 12.95)"
"Petersburg Borough, Alaska",2195,"50.57 (45.62, 56.00)","48.92 (44.87, 53.40)","48.30 (44.68, 52.06)","50.38 (47.31, 54.00)","54.83 (51.29, 58.58)","53.38 (49.84, 57.54)","49.10 (45.36, 53.19)","47.63 (43.27, 51.97)","-5.81 (-19.15, 9.10)"
"Prince of Wales-Hyder Census Area, Alaska",2198,"50.57 (45.62, 56.00)","48.92 (44.87, 53.40)","48.30 (44.68, 52.06)","50.38 (47.31, 54.00)","54.83 (51.29, 58.58)","53.38 (49.84, 57.54)","49.10 (45.36, 53.19)","47.63 (43.27, 51.97)","-5.81 (-19.15, 9.10)"
"Sitka City and Borough, Alaska",2220,"43.04 (37.56, 49.16)","42.13 (37.37, 47.28)","41.50 (37.34, 45.77)","43.57 (39.52, 47.58)","47.38 (43.02, 51.95)","44.60 (40.22, 49.62)","42.03 (37.34, 47.08)","40.62 (35.65, 46.35)","-5.63 (-21.45, 13.34)"
"Skagway Municipality, Alaska",2230,"52.14 (45.16, 59.10)","48.20 (42.51, 54.09)","46.09 (41.16, 51.28)","48.04 (42.95, 52.83)","53.53 (47.89, 59.34)","51.19 (45.59, 56.94)","45.35 (39.97, 50.68)","43.51 (37.64, 49.50)","-16.56 (-30.73, -0.75)"
"Southeast Fairbanks Census Area, Alaska",2240,"41.64 (36.30, 47.03)","43.86 (38.71, 49.36)","46.67 (41.67, 51.67)","48.57 (43.67, 53.55)","53.57 (48.29, 58.78)","55.71 (50.11, 61.77)","53.01 (47.32, 59.01)","56.74 (50.14, 64.18)","36.26 (15.65, 58.95)"
"Valdez-Cordova Census Area, Alaska",2261,"41.19 (36.89, 45.79)","42.41 (38.22, 47.19)","44.88 (40.96, 49.35)","50.08 (45.74, 54.34)","56.90 (52.38, 61.82)","57.03 (52.12, 62.24)","55.69 (50.47, 61.18)","56.92 (51.11, 63.05)","38.18 (19.88, 58.83)"
"Wrangell City and Borough, Alaska",2275,"50.57 (45.62, 56.00)","48.92 (44.87, 53.40)","48.30 (44.68, 52.06)","50.38 (47.31, 54.00)","54.83 (51.29, 58.58)","53.38 (49.84, 57.54)","49.10 (45.36, 53.19)","47.63 (43.27, 51.97)","-5.81 (-19.15, 9.10)"
"Yakutat City and Borough, Alaska",2282,"52.14 (45.16, 59.10)","48.20 (42.51, 54.09)","46.09 (41.16, 51.28)","48.04 (42.95, 52.83)","53.53 (47.89, 59.34)","51.19 (45.59, 56.94)","45.35 (39.97, 50.68)","43.51 (37.64, 49.50)","-16.56 (-30.73, -0.75)"
"Yukon-Koyukuk Census Area, Alaska",2290,"40.94 (36.33, 46.45)","40.17 (36.14, 44.47)","40.85 (37.10, 44.72)","45.04 (41.07, 49.08)","50.59 (46.21, 55.15)","48.89 (44.57, 53.43)","43.94 (39.79, 48.30)","45.49 (40.75, 50.61)","11.13 (-5.58, 29.28)"
Arizona,4,"38.06 (36.89, 39.38)","38.76 (37.68, 39.89)","38.82 (37.74, 39.83)","42.76 (41.61, 43.89)","47.33 (46.14, 48.57)","46.59 (45.45, 47.85)","46.45 (45.16, 47.66)","50.22 (48.74, 51.58)","31.94 (27.09, 36.91)"
"Apache County, Arizona",4001,"65.10 (61.50, 69.07)","68.07 (64.61, 71.46)","72.22 (69.00, 75.72)","80.00 (76.41, 83.75)","88.03 (84.55, 91.83)","90.07 (86.08, 94.02)","88.39 (84.28, 92.81)","88.20 (84.07, 92.51)","35.48 (25.58, 46.05)"
"Cochise County, Arizona",4003,"48.03 (45.28, 51.23)","49.21 (46.69, 51.83)","50.04 (47.55, 52.52)","52.84 (50.59, 55.36)","56.16 (53.71, 58.77)","54.97 (52.40, 57.54)","49.69 (47.44, 52.02)","51.64 (49.13, 54.14)","7.50 (-0.65, 16.01)"
"Coconino County, Arizona",4005,"45.17 (42.09, 48.27)","46.28 (43.64, 48.83)","46.53 (44.15, 48.93)","49.42 (47.11, 51.90)","51.64 (49.01, 54.16)","52.49 (50.07, 55.09)","47.19 (44.83, 49.84)","46.08 (43.74, 48.70)","2.01 (-6.18, 12.14)"
"Gila County, Arizona",4007,"48.86 (45.65, 52.23)","49.24 (46.35, 52.17)","50.83 (48.39, 53.46)","55.38 (52.74, 58.23)","57.72 (55.00, 60.67)","61.40 (58.58, 64.41)","57.55 (54.68, 60.80)","58.44 (55.22, 61.83)","19.61 (9.93, 30.21)"
"Graham County, Arizona",4009,"55.76 (51.98, 59.61)","56.85 (53.47, 60.32)","59.31 (56.28, 62.74)","67.04 (63.68, 70.75)","73.41 (69.74, 77.13)","76.62 (72.55, 80.74)","73.10 (69.03, 76.95)","71.90 (67.64, 76.16)","28.94 (18.00, 41.71)"
"Greenlee County, Arizona",4011,"54.65 (49.45, 60.18)","56.54 (52.09, 61.63)","59.15 (54.74, 63.80)","63.27 (58.88, 67.82)","69.19 (64.48, 74.05)","75.68 (70.13, 81.93)","70.82 (65.20, 76.97)","69.32 (63.46, 76.61)","26.85 (10.76, 45.56)"
"La Paz County, Arizona",4012,"34.43 (32.43, 36.52)","37.45 (35.56, 39.47)","39.07 (37.21, 41.05)","43.17 (41.34, 45.27)","47.30 (45.28, 49.31)","55.28 (53.16, 57.49)","54.52 (52.22, 56.71)","55.42 (53.19, 57.73)","60.93 (50.29, 73.25)"
"Maricopa County, Arizona",4013,"36.15 (34.72, 37.59)","37.39 (36.09, 38.80)","36.25 (35.10, 37.44)","39.49 (38.13, 40.75)","45.08 (43.74, 46.37)","42.85 (41.63, 44.24)","43.80 (42.41, 45.21)","48.83 (47.23, 50.39)","35.07 (29.62, 41.68)"
"Mohave County, Arizona",4015,"36.64 (34.44, 38.83)","38.24 (36.23, 40.26)","41.70 (39.66, 43.70)","47.08 (44.94, 49.26)","53.50 (51.20, 55.89)","59.59 (57.04, 62.12)","56.61 (54.22, 59.03)","56.90 (54.45, 59.37)","55.28 (44.24, 67.80)"
"Navajo County, Arizona",4017,"59.62 (56.30, 63.10)","61.50 (58.35, 64.65)","65.83 (62.56, 69.18)","70.60 (67.36, 73.85)","76.52 (73.32, 79.98)","75.54 (72.42, 78.58)","70.55 (67.52, 73.61)","71.58 (68.30, 75.11)","20.05 (11.32, 28.92)"
"Pima County, Arizona",4019,"36.33 (34.75, 38.02)","36.12 (34.58, 37.65)","37.58 (36.15, 39.01)","43.90 (42.38, 45.55)","46.55 (45.00, 48.20)","45.58 (44.01, 47.17)","46.69 (45.03, 48.25)","51.73 (49.89, 53.51)","42.39 (34.66, 50.35)"
"Pinal County, Arizona",4021,"56.94 (53.67, 60.88)","52.34 (49.58, 54.88)","54.21 (51.74, 56.67)","55.56 (53.06, 58.16)","55.56 (53.41, 57.85)","54.53 (52.26, 56.72)","46.52 (44.62, 48.40)","47.56 (45.52, 49.55)","-16.47 (-22.42, -10.47)"
"Santa Cruz County, Arizona",4023,"49.23 (45.01, 53.22)","49.63 (46.14, 53.42)","49.04 (45.99, 52.20)","52.53 (49.44, 55.64)","56.58 (53.79, 59.70)","57.74 (54.71, 60.78)","52.38 (49.22, 55.64)","50.66 (47.37, 53.99)","2.90 (-8.29, 15.59)"
"Yavapai County, Arizona",4025,"29.83 (27.91, 31.81)","30.06 (28.58, 31.79)","30.99 (29.47, 32.65)","34.91 (33.35, 36.52)","36.83 (35.23, 38.45)","38.49 (36.84, 40.15)","37.86 (36.11, 39.54)","38.71 (36.89, 40.52)","29.75 (20.16, 40.39)"
"Yuma County, Arizona",4027,"34.43 (32.43, 36.52)","37.45 (35.56, 39.47)","39.07 (37.21, 41.05)","43.17 (41.34, 45.27)","47.30 (45.28, 49.31)","55.28 (53.16, 57.49)","54.52 (52.22, 56.71)","55.42 (53.19, 57.73)","60.93 (50.29, 73.25)"
Arkansas,5,"49.02 (47.62, 50.49)","50.10 (49.05, 51.24)","53.24 (52.12, 54.35)","59.17 (57.96, 60.52)","65.79 (64.37, 67.19)","69.39 (67.82, 71.05)","66.17 (64.56, 67.76)","66.73 (64.89, 68.51)","36.12 (31.04, 41.15)"
"Arkansas County, Arkansas",5001,"44.64 (41.34, 48.12)","48.50 (45.25, 52.23)","53.29 (50.14, 56.84)","61.97 (58.32, 65.87)","71.07 (67.15, 75.21)","78.47 (74.05, 83.22)","78.71 (74.17, 83.17)","80.48 (75.39, 86.23)","80.29 (62.38, 100.65)"
"Ashley County, Arkansas",5003,"56.72 (52.55, 60.93)","57.21 (53.65, 60.85)","60.33 (56.60, 64.37)","68.10 (64.26, 72.06)","73.98 (69.88, 78.12)","75.61 (71.57, 79.89)","72.45 (67.71, 76.92)","71.89 (67.29, 76.56)","26.76 (14.81, 39.79)"
"Baxter County, Arkansas",5005,"38.56 (35.81, 41.43)","41.09 (38.65, 43.56)","44.54 (42.21, 46.85)","52.09 (49.57, 54.71)","59.32 (56.44, 62.19)","66.82 (63.50, 70.00)","65.86 (62.82, 69.12)","67.11 (63.27, 70.83)","74.03 (58.19, 90.44)"
"Benton County, Arkansas",5007,"36.28 (33.99, 38.77)","35.56 (33.38, 37.48)","35.63 (33.81, 37.34)","38.49 (36.67, 40.45)","42.06 (40.21, 43.96)","44.55 (42.47, 46.66)","44.47 (42.35, 46.56)","44.55 (42.31, 46.73)","22.80 (13.41, 33.77)"
"Boone County, Arkansas",5009,"37.40 (34.47, 40.44)","38.07 (35.51, 40.63)","40.64 (38.36, 43.38)","44.42 (41.91, 46.92)","48.81 (46.20, 51.69)","51.06 (47.96, 53.94)","48.80 (45.66, 51.92)","49.47 (46.12, 53.01)","32.28 (19.02, 48.34)"
"Bradley County, Arkansas",5011,"50.96 (46.55, 55.39)","52.81 (48.88, 57.05)","54.88 (50.81, 58.65)","60.45 (56.69, 64.36)","65.49 (61.36, 69.68)","68.70 (64.14, 73.62)","64.13 (59.37, 69.05)","62.40 (57.49, 67.99)","22.45 (8.34, 39.54)"
"Calhoun County, Arkansas",5013,"57.26 (51.82, 63.02)","57.77 (53.05, 63.04)","59.70 (55.34, 64.02)","65.94 (61.26, 71.03)","74.64 (69.23, 79.89)","76.76 (71.10, 83.09)","71.79 (66.03, 77.48)","73.46 (66.78, 80.29)","28.29 (11.60, 47.42)"
"Carroll County, Arkansas",5015,"38.37 (35.40, 41.44)","38.79 (36.34, 41.38)","39.98 (37.47, 42.66)","44.17 (41.65, 46.74)","49.76 (46.85, 52.48)","51.23 (48.27, 54.32)","48.03 (45.23, 51.22)","48.81 (45.64, 52.31)","27.23 (13.85, 42.27)"
"Chicot County, Arkansas",5017,"61.23 (56.78, 66.22)","63.74 (59.77, 68.11)","68.83 (65.01, 72.91)","74.73 (70.29, 79.39)","82.67 (78.23, 87.71)","87.27 (81.70, 92.81)","83.81 (78.49, 89.73)","85.28 (79.55, 91.34)","39.29 (25.79, 53.95)"
"Clark County, Arkansas",5019,"47.81 (44.10, 51.72)","49.43 (46.26, 52.76)","52.75 (49.55, 55.90)","59.27 (55.82, 62.56)","65.56 (61.93, 69.48)","70.44 (66.48, 74.63)","67.33 (63.04, 71.52)","69.19 (64.45, 74.35)","44.70 (30.37, 61.17)"
"Clay County, Arkansas",5021,"53.65 (49.36, 57.84)","55.03 (51.43, 58.66)","57.75 (54.50, 61.41)","61.74 (58.11, 65.36)","67.66 (63.73, 71.88)","69.36 (65.09, 73.96)","64.23 (60.07, 68.60)","64.30 (59.37, 69.22)","19.85 (7.00, 34.09)"
"Cleburne County, Arkansas",5023,"37.39 (34.46, 40.70)","38.94 (36.12, 41.97)","40.84 (38.17, 43.60)","46.28 (43.62, 49.30)","51.07 (48.36, 53.96)","53.30 (50.26, 56.35)","51.31 (48.23, 54.48)","53.39 (50.03, 56.87)","42.77 (28.19, 59.50)"
"Cleveland County, Arkansas",5025,"49.68 (45.34, 54.05)","50.29 (46.38, 54.04)","52.84 (48.95, 56.49)","59.27 (55.04, 63.70)","67.18 (62.45, 71.92)","68.66 (63.81, 73.76)","66.41 (61.12, 71.64)","65.08 (59.59, 70.50)","30.99 (15.80, 47.74)"
"Columbia County, Arkansas",5027,"50.15 (46.42, 54.16)","51.07 (47.77, 54.57)","54.41 (51.19, 57.79)","60.98 (57.40, 64.29)","70.27 (66.45, 74.09)","72.30 (68.22, 76.06)","70.46 (66.20, 74.74)","70.98 (67.00, 75.61)","41.53 (28.97, 56.91)"
"Conway County, Arkansas",5029,"45.63 (42.08, 49.37)","47.53 (44.21, 51.01)","50.77 (47.60, 53.98)","56.16 (53.06, 59.48)","62.89 (59.42, 66.91)","66.36 (62.35, 70.65)","62.69 (58.69, 66.69)","62.72 (58.47, 67.13)","37.44 (23.28, 53.52)"
"Craighead County, Arkansas",5031,"42.39 (39.43, 45.52)","42.41 (39.82, 44.92)","43.30 (40.98, 45.80)","48.71 (46.34, 51.33)","53.50 (50.82, 56.05)","56.97 (54.06, 59.73)","56.14 (53.17, 58.86)","55.18 (52.14, 58.12)","30.16 (19.19, 42.63)"
"Crawford County, Arkansas",5033,"46.49 (43.28, 49.98)","46.74 (44.10, 49.97)","48.91 (46.24, 51.79)","53.34 (50.57, 56.32)","59.02 (55.92, 62.04)","61.53 (58.25, 64.65)","57.43 (54.22, 60.59)","57.31 (54.06, 60.80)","23.28 (11.39, 35.61)"
"Crittenden County, Arkansas",5035,"61.51 (57.60, 65.73)","66.70 (63.11, 70.73)","73.87 (69.91, 77.91)","87.94 (83.69, 91.95)","106.83 (101.85, 111.81)","116.29 (110.85, 122.14)","119.71 (114.02, 125.64)","131.30 (124.94, 138.16)","113.45 (96.46, 132.57)"
"Cross County, Arkansas",5037,"45.30 (41.35, 48.95)","47.70 (44.26, 51.35)","53.04 (49.72, 56.58)","59.72 (55.94, 63.52)","66.52 (62.50, 70.86)","69.20 (64.87, 73.41)","67.26 (62.73, 71.82)","70.19 (65.38, 75.64)","54.94 (38.75, 73.59)"
"Dallas County, Arkansas",5039,"66.03 (60.76, 71.50)","68.28 (63.63, 73.26)","73.29 (68.75, 78.07)","83.22 (78.25, 88.35)","93.84 (88.25, 99.61)","99.51 (93.05, 105.71)","90.88 (84.98, 97.46)","93.51 (86.07, 100.77)","41.62 (26.59, 59.46)"
"Desha County, Arkansas",5041,"58.30 (54.03, 63.16)","57.29 (53.74, 61.53)","60.07 (56.33, 64.24)","66.96 (63.02, 70.94)","74.51 (69.67, 78.97)","76.79 (71.85, 82.20)","72.59 (67.64, 77.49)","71.34 (65.85, 77.02)","22.37 (8.53, 36.65)"
"Drew County, Arkansas",5043,"54.83 (50.23, 59.33)","57.44 (53.36, 61.76)","62.10 (58.30, 66.16)","71.89 (67.72, 76.19)","81.43 (76.88, 86.03)","84.93 (80.09, 90.06)","82.14 (76.93, 86.97)","84.92 (79.37, 90.43)","54.89 (39.54, 73.08)"
"Faulkner County, Arkansas",5045,"47.12 (44.13, 50.08)","47.41 (44.70, 50.34)","49.03 (46.56, 51.64)","53.15 (50.46, 55.88)","57.25 (54.52, 60.17)","59.06 (56.00, 62.13)","54.55 (51.82, 57.66)","55.47 (52.45, 58.56)","17.72 (8.63, 27.95)"
"Franklin County, Arkansas",5047,"49.25 (45.26, 53.13)","52.00 (48.47, 55.46)","55.22 (51.79, 58.82)","61.52 (57.81, 65.32)","68.62 (64.84, 72.56)","71.88 (67.44, 76.47)","70.64 (66.44, 75.41)","73.18 (67.98, 78.75)","48.60 (31.83, 65.79)"
"Fulton County, Arkansas",5049,"39.07 (35.55, 42.68)","42.35 (39.07, 45.66)","47.21 (44.10, 50.43)","54.08 (50.83, 57.27)","62.97 (58.98, 66.56)","68.47 (64.42, 72.45)","68.28 (64.07, 72.81)","70.50 (65.91, 75.41)","80.45 (61.65, 103.41)"
"Garland County, Arkansas",5051,"42.01 (39.46, 44.65)","43.25 (40.92, 45.77)","44.53 (42.35, 46.78)","49.42 (47.05, 51.70)","53.76 (51.16, 56.24)","56.19 (53.50, 58.74)","51.98 (49.48, 54.49)","53.45 (50.65, 56.13)","27.24 (17.39, 38.77)"
"Grant County, Arkansas",5053,"39.39 (35.89, 43.31)","41.71 (38.50, 45.17)","45.76 (42.35, 49.31)","52.78 (49.21, 56.43)","60.26 (56.46, 64.03)","63.81 (59.52, 68.02)","63.50 (58.98, 68.02)","65.66 (60.75, 70.80)","66.69 (47.06, 87.40)"
"Greene County, Arkansas",5055,"43.55 (40.09, 47.30)","45.44 (42.23, 48.80)","48.17 (45.11, 51.29)","54.52 (51.19, 57.76)","59.11 (55.74, 62.51)","62.89 (59.18, 66.41)","61.80 (57.89, 65.28)","63.04 (59.14, 66.93)","44.74 (29.97, 62.04)"
"Hempstead County, Arkansas",5057,"54.76 (50.66, 58.93)","54.49 (50.90, 58.04)","58.01 (54.54, 61.53)","64.41 (60.88, 68.08)","73.24 (69.28, 77.02)","75.65 (71.20, 80.26)","72.13 (67.69, 76.91)","72.73 (67.92, 78.21)","32.82 (19.09, 48.00)"
"Hot Spring County, Arkansas",5059,"43.78 (40.52, 47.18)","45.75 (42.73, 48.78)","48.86 (45.98, 51.65)","54.81 (51.64, 57.93)","60.40 (57.14, 63.83)","63.06 (59.85, 67.03)","61.80 (58.46, 65.57)","62.97 (59.18, 67.11)","43.82 (30.79, 58.49)"
"Howard County, Arkansas",5061,"55.95 (51.79, 60.58)","58.43 (54.30, 62.81)","62.49 (58.41, 66.44)","68.62 (64.40, 72.61)","78.98 (74.25, 83.98)","82.71 (77.71, 87.83)","79.10 (73.75, 84.44)","78.70 (73.01, 84.53)","40.66 (26.26, 56.87)"
"Independence County, Arkansas",5063,"45.02 (41.94, 48.64)","45.30 (42.50, 48.16)","48.53 (45.76, 51.53)","53.42 (50.34, 56.57)","60.51 (57.36, 64.18)","62.16 (58.85, 65.38)","60.16 (56.64, 63.75)","62.50 (58.71, 66.44)","38.84 (25.49, 52.90)"
"Izard County, Arkansas",5065,"38.36 (35.42, 41.68)","41.03 (38.13, 44.00)","46.16 (43.39, 49.05)","53.50 (50.24, 56.59)","61.28 (57.74, 64.77)","68.21 (64.16, 72.54)","67.23 (63.05, 71.44)","70.88 (66.05, 75.53)","84.75 (64.83, 104.99)"
"Jackson County, Arkansas",5067,"57.72 (53.87, 61.94)","61.25 (57.52, 65.07)","64.99 (61.04, 69.14)","73.36 (69.21, 77.65)","82.25 (77.91, 86.82)","85.74 (80.65, 90.62)","83.17 (77.89, 88.57)","84.54 (78.53, 90.47)","46.45 (32.67, 61.84)"
"Jefferson County, Arkansas",5069,"54.18 (51.09, 57.76)","58.64 (55.34, 61.90)","63.68 (60.72, 66.80)","74.56 (71.10, 78.10)","82.64 (78.62, 86.46)","91.39 (87.33, 95.46)","88.12 (84.25, 92.12)","92.50 (87.88, 96.72)","70.71 (56.69, 83.97)"
"Johnson County, Arkansas",5071,"48.07 (44.49, 51.99)","49.05 (45.93, 52.43)","52.83 (49.77, 56.19)","58.18 (54.98, 61.38)","67.72 (63.96, 71.43)","72.25 (68.13, 76.42)","68.90 (64.48, 73.30)","71.26 (66.30, 75.96)","48.23 (32.78, 65.24)"
"Lafayette County, Arkansas",5073,"57.94 (53.12, 62.83)","58.05 (54.15, 62.24)","61.10 (57.06, 65.35)","67.69 (63.57, 71.90)","74.66 (70.20, 79.23)","77.18 (72.11, 82.03)","75.91 (70.57, 82.02)","74.70 (68.95, 80.81)","28.92 (13.95, 44.32)"
"Lawrence County, Arkansas",5075,"52.95 (48.87, 57.51)","54.41 (50.65, 58.41)","56.37 (53.05, 60.07)","62.84 (59.23, 66.74)","69.87 (65.58, 74.16)","71.46 (67.24, 75.84)","67.29 (63.10, 71.67)","67.54 (63.11, 72.34)","27.56 (14.82, 41.44)"
"Lee County, Arkansas",5077,"73.28 (67.79, 79.59)","75.61 (70.54, 80.76)","84.03 (79.21, 89.07)","92.10 (86.97, 97.43)","102.90 (97.35, 108.74)","105.01 (99.01, 111.69)","98.54 (91.84, 105.14)","101.12 (93.89, 109.07)","37.98 (22.26, 55.20)"
"Lincoln County, Arkansas",5079,"49.82 (45.47, 54.65)","51.82 (47.77, 56.29)","53.75 (49.72, 58.11)","59.18 (55.17, 63.63)","65.61 (61.20, 70.58)","66.35 (61.52, 71.42)","63.42 (58.28, 68.77)","62.54 (57.23, 68.31)","25.53 (11.37, 41.50)"
"Little River County, Arkansas",5081,"53.19 (48.92, 57.59)","54.21 (50.18, 57.97)","56.39 (52.45, 60.18)","65.15 (60.97, 69.25)","74.37 (69.82, 79.02)","76.98 (72.19, 81.83)","74.31 (69.36, 79.41)","73.66 (68.23, 78.98)","38.49 (23.56, 55.08)"
"Logan County, Arkansas",5083,"49.68 (45.62, 54.18)","50.13 (46.63, 53.83)","53.93 (50.67, 57.18)","60.06 (56.23, 63.44)","66.27 (62.36, 70.42)","69.05 (65.10, 73.11)","65.95 (61.78, 70.19)","66.66 (62.33, 71.44)","34.18 (19.72, 50.70)"
"Lonoke County, Arkansas",5085,"52.28 (48.53, 56.19)","54.48 (51.36, 58.10)","57.70 (54.70, 60.96)","64.18 (60.89, 67.93)","73.77 (70.08, 77.51)","77.13 (73.23, 81.16)","75.74 (72.02, 79.73)","75.32 (71.30, 79.39)","44.08 (30.96, 56.95)"
"Madison County, Arkansas",5087,"44.77 (41.17, 48.63)","46.30 (42.89, 50.05)","48.21 (44.90, 51.73)","53.20 (49.72, 56.96)","59.62 (55.90, 63.82)","60.47 (56.39, 64.54)","57.96 (53.76, 62.31)","59.15 (54.70, 63.96)","32.11 (17.65, 47.92)"
"Marion County, Arkansas",5089,"34.92 (31.76, 37.83)","36.66 (33.84, 39.59)","39.27 (36.66, 42.05)","44.34 (41.58, 47.05)","50.50 (47.47, 53.50)","52.61 (49.37, 56.19)","52.21 (48.88, 55.94)","54.28 (50.34, 58.47)","55.44 (38.72, 76.15)"
"Miller County, Arkansas",5091,"58.51 (54.82, 62.50)","59.18 (55.94, 62.81)","63.46 (60.22, 66.82)","69.50 (66.19, 73.12)","78.64 (74.66, 82.48)","82.47 (78.17, 86.66)","82.20 (78.09, 86.53)","83.09 (78.26, 87.77)","42.02 (29.60, 54.96)"
"Mississippi County, Arkansas",5093,"60.17 (56.62, 64.12)","64.14 (60.65, 67.72)","70.66 (67.20, 74.16)","82.95 (79.17, 86.77)","98.04 (93.50, 102.31)","106.80 (101.87, 111.54)","111.70 (106.33, 117.09)","114.91 (109.49, 120.90)","90.96 (76.83, 107.62)"
"Monroe County, Arkansas",5095,"59.92 (54.94, 65.27)","59.83 (55.65, 64.39)","62.06 (58.10, 66.29)","68.74 (64.04, 73.31)","74.76 (70.04, 79.75)","79.28 (73.90, 84.89)","74.28 (68.69, 79.67)","74.76 (68.64, 80.93)","24.76 (8.90, 40.85)"
"Montgomery County, Arkansas",5097,"39.03 (35.67, 42.54)","39.92 (36.59, 43.33)","41.95 (39.02, 45.11)","45.98 (42.69, 49.11)","51.20 (47.75, 54.77)","53.71 (49.84, 57.61)","49.58 (45.95, 53.29)","49.64 (45.54, 53.58)","27.17 (12.65, 43.99)"
"Nevada County, Arkansas",5099,"56.64 (52.02, 61.56)","58.33 (53.94, 62.76)","62.16 (57.82, 66.32)","68.31 (63.97, 72.67)","76.00 (71.21, 81.08)","79.26 (74.28, 84.79)","74.14 (68.60, 79.96)","74.05 (67.91, 80.11)","30.74 (15.91, 47.61)"
"Newton County, Arkansas",5101,"39.31 (35.56, 43.41)","39.40 (35.96, 43.00)","40.86 (37.55, 44.53)","44.49 (41.09, 48.35)","48.81 (45.03, 52.97)","50.21 (46.12, 54.63)","47.77 (43.51, 52.29)","45.72 (41.11, 50.39)","16.31 (2.07, 31.28)"
"Ouachita County, Arkansas",5103,"53.24 (49.52, 57.29)","53.48 (50.28, 57.17)","57.07 (53.84, 60.54)","64.01 (60.60, 67.57)","73.26 (69.04, 77.44)","77.05 (72.88, 81.43)","74.23 (70.03, 78.72)","74.48 (69.45, 79.09)","39.88 (26.52, 54.36)"
"Perry County, Arkansas",5105,"45.66 (41.69, 50.18)","47.84 (43.92, 51.88)","50.76 (46.93, 54.95)","56.69 (52.72, 60.85)","63.21 (58.52, 67.61)","66.10 (61.13, 70.80)","63.09 (58.15, 67.73)","63.89 (58.95, 69.27)","39.93 (24.98, 56.14)"
"Phillips County, Arkansas",5107,"85.80 (80.58, 91.03)","91.50 (86.34, 96.68)","98.18 (93.00, 103.57)","117.66 (112.10, 123.56)","134.03 (127.59, 140.54)","142.87 (136.55, 149.55)","141.72 (135.19, 149.36)","142.38 (134.08, 150.13)","65.95 (52.57, 80.93)"
"Pike County, Arkansas",5109,"43.60 (40.11, 47.55)","45.58 (42.15, 49.39)","47.83 (44.31, 51.52)","53.09 (49.02, 56.92)","60.83 (56.43, 65.45)","62.97 (58.21, 67.70)","61.44 (56.42, 66.77)","60.79 (55.64, 66.09)","39.44 (24.62, 55.86)"
"Poinsett County, Arkansas",5111,"46.70 (42.69, 50.83)","49.60 (46.00, 53.30)","54.91 (51.51, 58.55)","61.48 (57.96, 65.37)","69.71 (65.64, 74.03)","76.14 (71.71, 80.90)","75.61 (70.96, 80.09)","78.93 (73.74, 84.77)","69.03 (50.57, 89.06)"
"Polk County, Arkansas",5113,"50.98 (47.12, 55.06)","52.45 (48.76, 56.10)","55.56 (52.40, 59.16)","61.02 (57.77, 64.80)","68.86 (64.89, 72.88)","69.72 (65.56, 73.58)","66.28 (62.25, 70.25)","65.64 (61.30, 70.31)","28.76 (15.50, 43.67)"
"Pope County, Arkansas",5115,"47.06 (43.89, 50.40)","47.25 (44.52, 50.21)","48.45 (45.99, 51.31)","52.81 (49.99, 55.79)","57.20 (54.26, 60.17)","61.01 (57.86, 64.37)","57.04 (53.79, 60.28)","57.39 (53.99, 60.92)","21.95 (11.15, 34.16)"
"Prairie County, Arkansas",5117,"42.56 (38.24, 46.88)","43.69 (39.91, 47.37)","46.23 (42.66, 49.74)","53.12 (49.20, 57.26)","60.46 (56.24, 64.70)","62.62 (57.98, 67.51)","60.82 (56.15, 65.78)","60.85 (55.26, 66.60)","42.97 (25.04, 64.05)"
"Pulaski County, Arkansas",5119,"51.99 (49.58, 54.66)","51.34 (49.06, 53.66)","56.48 (54.17, 58.80)","64.64 (62.18, 67.53)","70.17 (67.53, 72.77)","77.97 (75.24, 81.07)","71.55 (68.99, 74.19)","69.52 (66.61, 72.36)","33.72 (25.56, 41.94)"
"Randolph County, Arkansas",5121,"44.25 (40.69, 47.91)","45.67 (42.58, 48.87)","49.22 (45.88, 52.44)","54.60 (51.29, 58.11)","61.01 (57.13, 64.64)","64.41 (60.53, 68.53)","61.02 (56.98, 64.98)","60.78 (56.64, 65.06)","37.35 (22.55, 52.85)"
"Saint Francis County, Arkansas",5123,"60.21 (56.07, 64.61)","60.84 (57.03, 64.79)","64.64 (60.85, 68.78)","72.14 (68.10, 76.18)","80.14 (75.62, 84.87)","85.39 (80.50, 90.28)","81.62 (76.89, 87.03)","83.94 (78.25, 89.36)","39.41 (25.55, 53.65)"
"Saline County, Arkansas",5125,"40.87 (37.96, 43.88)","41.08 (38.55, 43.83)","43.87 (41.36, 46.52)","48.91 (46.34, 51.59)","53.83 (51.19, 56.62)","56.24 (53.52, 59.08)","52.92 (50.14, 55.53)","58.21 (55.05, 61.51)","42.44 (30.49, 55.38)"
